Date : 2025-02-19 01:38:04
Directory : c:\Users\wadan\Desktop\SGA\Portfolio\Unreal\Project\UE_PUBG\Source\UE_PUBG
Total : 262 files,  18491 codes, 5284 comments, 7985 blanks, all 31760 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        261 |     18,465 |      5,267 |      7,976 |     31,708 |
| C#       |          1 |         26 |         17 |          9 |         52 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        262 |     18,491 |      5,284 |      7,985 |     31,760 |
| . (Files)                                                                                                                                                          |         11 |        207 |         76 |        116 |        399 |
| AI                                                                                                                                                                 |         20 |        573 |        112 |        325 |      1,010 |
| AI (Files)                                                                                                                                                         |          4 |        214 |         22 |         98 |        334 |
| AI\Service                                                                                                                                                         |          8 |        127 |         33 |         94 |        254 |
| AI\Task                                                                                                                                                            |          8 |        232 |         57 |        133 |        422 |
| AI\Task\CombatTask                                                                                                                                                 |          4 |        142 |         38 |         75 |        255 |
| AI\Task\IdleTask                                                                                                                                                   |          2 |         62 |          7 |         34 |        103 |
| AI\Task\SkyDiveTask                                                                                                                                                |          2 |         28 |         12 |         24 |         64 |
| Airplane                                                                                                                                                           |          4 |        376 |         93 |        172 |        641 |
| Character                                                                                                                                                          |         54 |      6,440 |      1,877 |      2,646 |     10,963 |
| Character (Files)                                                                                                                                                  |         14 |      2,097 |        550 |        820 |      3,467 |
| Character\Component                                                                                                                                                |         40 |      4,343 |      1,327 |      1,826 |      7,496 |
| Character\Component (Files)                                                                                                                                        |         30 |      4,124 |      1,278 |      1,667 |      7,069 |
| Character\Component\ParkourActionStrategy                                                                                                                          |         10 |        219 |         49 |        159 |        427 |
| HUD                                                                                                                                                                |         18 |      1,368 |        367 |        634 |      2,369 |
| InvenUI                                                                                                                                                            |         40 |      1,267 |        817 |        663 |      2,747 |
| InvenUI (Files)                                                                                                                                                    |          4 |        137 |         67 |         78 |        282 |
| InvenUI\BasicItemSlot                                                                                                                                              |         24 |        678 |        638 |        378 |      1,694 |
| InvenUI\BasicItemSlot (Files)                                                                                                                                      |          2 |         15 |         22 |         14 |         51 |
| InvenUI\BasicItemSlot\EquipmentSlot                                                                                                                                |         10 |        270 |        283 |        151 |        704 |
| InvenUI\BasicItemSlot\WeaponSlot                                                                                                                                   |         12 |        393 |        333 |        213 |        939 |
| InvenUI\BasicItemSlot\WeaponSlot (Files)                                                                                                                           |          6 |        156 |        157 |         88 |        401 |
| InvenUI\BasicItemSlot\WeaponSlot\GunSlot                                                                                                                           |          6 |        237 |        176 |        125 |        538 |
| InvenUI\ItemBar                                                                                                                                                    |          2 |        160 |         68 |         79 |        307 |
| InvenUI\Panel                                                                                                                                                      |         10 |        292 |         44 |        128 |        464 |
| InvenUI\Panel (Files)                                                                                                                                              |          2 |         48 |          8 |         19 |         75 |
| InvenUI\Panel\ItemPanel                                                                                                                                            |          8 |        244 |         36 |        109 |        389 |
| InvenUI\Panel\ItemPanel (Files)                                                                                                                                    |          6 |        152 |         28 |         63 |        243 |
| InvenUI\Panel\ItemPanel\EquipmentPanel                                                                                                                             |          2 |         92 |          8 |         46 |        146 |
| InvenUserInterface                                                                                                                                                 |         22 |      1,156 |        305 |        512 |      1,973 |
| Item                                                                                                                                                               |         82 |      6,475 |      1,498 |      2,636 |     10,609 |
