Date : 2025-01-16 01:56:08
Directory : c:\Users\wadan\Desktop\SGA\Portfolio\Unreal\Project\UE_PUBG\Source\UE_PUBG
Total : 236 files,  15452 codes, 4000 comments, 6263 blanks, all 25715 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        235 |     15,427 |      3,983 |      6,254 |     25,664 |
| C#       |          1 |         25 |         17 |          9 |         51 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        236 |     15,452 |      4,000 |      6,263 |     25,715 |
| . (Files)                                                                                                                                           |         11 |        193 |         76 |         94 |        363 |
| AI                                                                                                                                                  |         12 |        349 |         52 |        170 |        571 |
| AI (Files)                                                                                                                                          |          4 |        192 |         15 |         80 |        287 |
| AI\Service                                                                                                                                          |          6 |         90 |         18 |         59 |        167 |
| AI\Task                                                                                                                                             |          2 |         67 |         19 |         31 |        117 |
| AI\Task\CombatTask                                                                                                                                  |          2 |         67 |         19 |         31 |        117 |
| Airplane                                                                                                                                            |          4 |        377 |         90 |        164 |        631 |
| Character                                                                                                                                           |         54 |      6,175 |      1,720 |      2,463 |     10,358 |
| Character (Files)                                                                                                                                   |         14 |      1,836 |        534 |        724 |      3,094 |
| Character\Component                                                                                                                                 |         40 |      4,339 |      1,186 |      1,739 |      7,264 |
| Character\Component (Files)                                                                                                                         |         30 |      4,120 |      1,137 |      1,600 |      6,857 |
| Character\Component\ParkourActionStrategy                                                                                                           |         10 |        219 |         49 |        139 |        407 |
| HUD                                                                                                                                                 |         12 |        799 |        259 |        407 |      1,465 |
| InvenUI                                                                                                                                             |         38 |        190 |         95 |        171 |        456 |
| InvenUI (Files)                                                                                                                                     |          2 |         10 |          5 |          9 |         24 |
| InvenUI\BasicItemSlot                                                                                                                               |         24 |        120 |         60 |        108 |        288 |
| InvenUI\BasicItemSlot (Files)                                                                                                                       |          2 |         10 |          5 |          9 |         24 |
