Date : 2024-11-07 22:20:57
Directory : c:\Users\wadan\Desktop\SGA\Portfolio\Unreal\Project\UE_PUBG\Source\UE_PUBG
Total : 132 files,  9851 codes, 2576 comments, 4036 blanks, all 16463 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        131 |      9,828 |      2,559 |      4,027 |     16,414 |
| C#       |          1 |         23 |         17 |          9 |         49 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        132 |      9,851 |      2,576 |      4,036 |     16,463 |
| . (Files)                                                                                                                          |          9 |        179 |         71 |         84 |        334 |
| Character                                                                                                                          |         34 |      4,591 |      1,215 |      1,802 |      7,608 |
| Character (Files)                                                                                                                  |         12 |      1,787 |        519 |        704 |      3,010 |
| Character\Component                                                                                                                |         22 |      2,804 |        696 |      1,098 |      4,598 |
| HUD                                                                                                                                |          8 |        405 |        156 |        213 |        774 |
| InvenUserInterface                                                                                                                 |         14 |        576 |        122 |        242 |        940 |
| Item                                                                                                                               |         56 |      3,563 |        902 |      1,474 |      5,939 |
| Item (Files)                                                                                                                       |          2 |        139 |         58 |         63 |        260 |
| Item\Attachment                                                                                                                    |          2 |         82 |          8 |         25 |        115 |
| Item\ConsumableItem                                                                                                                |         16 |        632 |        104 |        278 |      1,014 |
| Item\ConsumableItem (Files)                                                                                                        |          6 |        284 |         61 |        135 |        480 |
| Item\ConsumableItem\Boosting                                                                                                       |          4 |        112 |         14 |         47 |        173 |
| Item\ConsumableItem\Healing                                                                                                        |          6 |        236 |         29 |         96 |        361 |
| Item\Equipment                                                                                                                     |          4 |        129 |         45 |         75 |        249 |
| Item\Weapon                                                                                                                        |         32 |      2,581 |        687 |      1,033 |      4,301 |
| Item\Weapon (Files)                                                                                                                |          2 |        157 |         58 |         65 |        280 |
| Item\Weapon\Gun                                                                                                                    |          8 |        946 |        169 |        267 |      1,382 |
| Item\Weapon\MeleeWeapon                                                                                                            |          2 |        134 |         49 |         60 |        243 |
| Item\Weapon\ThrowingWeapon                                                                                                         |         12 |      1,033 |        329 |        496 |      1,858 |
| Item\Weapon\WeaponStrategy                                                                                                         |          8 |        311 |         82 |        145 |        538 |
| MagneticField                                                                                                                      |          4 |        271 |         70 |        135 |        476 |
| Singleton                                                                                                                          |          2 |         36 |         10 |         21 |         67 |
| Utility                                                                                                                            |          5 |        230 |         30 |         65 |        325 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
