Date : 2025-01-05 13:24:46
Directory : c:\Users\wadan\Desktop\SGA\Portfolio\Unreal\Project\UE_PUBG\Source\UE_PUBG
Total : 182 files,  13782 codes, 3651 comments, 5533 blanks, all 22966 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        181 |     13,757 |      3,634 |      5,524 |     22,915 |
| C#       |          1 |         25 |         17 |          9 |         51 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        182 |     13,782 |      3,651 |      5,533 |     22,966 |
| . (Files)                                                                                                                                           |         11 |        193 |         76 |         94 |        363 |
| AI                                                                                                                                                  |          2 |         10 |          5 |          9 |         24 |
| Airplane                                                                                                                                            |          4 |        377 |         93 |        164 |        634 |
| Character                                                                                                                                           |         50 |      6,009 |      1,631 |      2,373 |     10,013 |
| Character (Files)                                                                                                                                   |         12 |      1,903 |        570 |        748 |      3,221 |
| Character\Component                                                                                                                                 |         38 |      4,106 |      1,061 |      1,625 |      6,792 |
| Character\Component (Files)                                                                                                                         |         28 |      3,887 |      1,012 |      1,486 |      6,385 |
| Character\Component\ParkourActionStrategy                                                                                                           |         10 |        219 |         49 |        139 |        407 |
| HUD                                                                                                                                                 |         12 |        730 |        254 |        374 |      1,358 |
| InvenUserInterface                                                                                                                                  |         22 |      1,097 |        303 |        457 |      1,857 |
| Item                                                                                                                                                |         70 |      4,819 |      1,178 |      1,836 |      7,833 |
| Item (Files)                                                                                                                                        |          2 |        207 |         99 |         85 |        391 |
| Item\Attachment                                                                                                                                     |          2 |         82 |          8 |         25 |        115 |
| Item\AttachmentActors                                                                                                                               |         10 |        313 |         42 |         90 |        445 |
| Item\ConsumableItem                                                                                                                                 |         16 |        756 |        131 |        333 |      1,220 |
| Item\ConsumableItem (Files)                                                                                                                         |          6 |        384 |         82 |        175 |        641 |
| Item\ConsumableItem\Boosting                                                                                                                        |          4 |        112 |         16 |         50 |        178 |
| Item\ConsumableItem\Healing                                                                                                                         |          6 |        260 |         33 |        108 |        401 |
| Item\Equipment                                                                                                                                      |          8 |        299 |         74 |        145 |        518 |
| Item\Weapon                                                                                                                                         |         32 |      3,162 |        824 |      1,158 |      5,144 |
